"","Colony","Individual","Individ_id","pers","Number_of_tracks","vals","nas","percent_na"
"80","Combined",28,"ISR-339248",24.3163,728,1233,128,10.3811841038118
"81","Combined",29,"ISR-340703",23.1896,2070,694,18,2.59365994236311
"82","Combined",3,"ISR-336166",23.2912,1824,686,17,2.47813411078717
"83","Combined",3,"ISR-336166",23.2912,1824,1006,50,4.97017892644135
"84","Combined",3,"ISR-336166",24.5277,1824,686,17,2.47813411078717
"85","Combined",3,"ISR-336166",24.5277,1824,1006,50,4.97017892644135
"86","Combined",30,"ISR-340709",23.8131,1091,931,18,1.93340494092374
"87","Combined",31,"ISR-340719",23.6036,2185,621,16,2.57648953301127
"88","Combined",32,"ISR-340721",23.1833,1458,707,17,2.4045261669024
"89","Combined",33,"ISR-340732",19.1949,1824,524,15,2.86259541984733
"90","Combined",34,"ISR-340758",23.6492,2551,619,19,3.06946688206785
"91","Combined",35,"ISR-340760",22.8991,1094,524,18,3.43511450381679
"92","Combined",36,"ISR-340761",23.3717,1458,714,17,2.38095238095238
"93","Combined",37,"ISR-340770",24.1198,1092,1239,108,8.71670702179177
"94","Combined",38,"ISR-340772",23.9052,1094,1199,403,33.6113427856547
"95","Combined",39,"ISR-340790",22.9946,2188,727,25,3.43878954607978
"96","Combined",4,"ISR-336167",23.3168,726,783,188,24.0102171136654
"97","Combined",40,"ISR-340800",24.3947,1819,606,7,1.15511551155116
"98","Combined",41,"ISR-341696",22.3766,1455,1115,228,20.4484304932735
"99","Combined",42,"ISR-341697",23.7454,1091,1678,365,21.7520858164482
"100","Combined",43,"ISR-341698",23.8744,364,555,17,3.06306306306306
"101","Combined",44,"ISR-341701",24.4384,1817,656,20,3.04878048780488
"102","Combined",45,"ISR-341703",23.496,1819,736,49,6.65760869565217
"103","Combined",46,"ISR-341704",24.4166,277,771,15,1.94552529182879
"104","Combined",47,"ISR-341712",22.791,1094,492,16,3.2520325203252
"105","Combined",48,"ISR-350701",22.4301,364,557,17,3.05206463195691
"106","Combined",49,"ISR-350703",22.8051,364,1058,204,19.2816635160681
"107","Combined",5,"ISR-336176",23.9578,809,703,13,1.84921763869132
"108","Combined",50,"ISR-350704",22.4213,364,583,16,2.74442538593482
"109","Combined",51,"ISR-350706",24.3641,364,900,58,6.44444444444444
"110","Combined",52,"ISR-350708",23.3373,1094,553,15,2.7124773960217
"111","Combined",53,"ISR-350710",23.5769,364,582,16,2.74914089347079
"112","Combined",54,"ISR-350711",24.6397,320,595,45,7.56302521008403
"113","Combined",6,"ISR-336179",23.1538,364,481,14,2.91060291060291
"114","Combined",7,"ISR-339217",23.7398,1819,857,55,6.41773628938156
"115","Combined",8,"ISR-339220",23.9229,364,540,16,2.96296296296296
"116","Combined",9,"ISR-339222",25.1848,729,1034,18,1.74081237911025
"117","Eynhallow",1,"GBT-FA82356",27.3542,802,542,4,0.738007380073801
"118","Eynhallow",10,"GBT-FC71061",26.5961,1460,904,6,0.663716814159292
"119","Eynhallow",100,"GBT-FP96200",25.8688,363,959,45,4.69238790406674
"120","Eynhallow",101,"GBT-FP96218",25.1435,1093,842,14,1.66270783847981
"121","Eynhallow",102,"GBT-FP96219",27.5454,1455,456,9,1.97368421052632
"122","Eynhallow",103,"GBT-FP96220",25.2651,729,717,10,1.39470013947001
"123","Eynhallow",104,"GBT-FP96224",26.5855,2044,721,15,2.08044382801664
"124","Eynhallow",105,"GBT-FP96225",27.3602,1090,432,8,1.85185185185185
"125","Eynhallow",106,"GBT-FP96226",27.5668,729,672,19,2.82738095238095
"126","Eynhallow",107,"GBT-FP96227",26.9465,363,295,5,1.69491525423729
"127","Eynhallow",108,"GBT-FP96228",26.6551,730,768,4,0.520833333333333
"128","Eynhallow",109,"GBT-FP96234",26.612,1094,701,7,0.998573466476462
"129","Eynhallow",11,"GBT-FC88717",27.0337,364,257,4,1.55642023346304
"130","Eynhallow",110,"GBT-FP96235",27.0513,363,410,10,2.4390243902439
"131","Eynhallow",111,"GBT-FP96288",24.963,365,1401,165,11.7773019271949
"132","Eynhallow",112,"GBT-FP96304",27.4665,365,320,4,1.25
"133","Eynhallow",113,"GBT-FP96325",26.8466,363,214,3,1.4018691588785
"134","Eynhallow",114,"GBT-FP96328",27.3394,1376,248,6,2.41935483870968
"135","Eynhallow",115,"GBT-FP96329",27.2207,2912,705,68,9.64539007092199
"136","Eynhallow",116,"GBT-FP96332",25.5314,366,696,0,0
"137","Eynhallow",117,"GBT-FP96344",26.4813,1456,441,5,1.13378684807256
"138","Eynhallow",118,"GBT-FP96361",25.3452,729,793,9,1.13493064312736
"139","Eynhallow",119,"GBT-FP96377",27.0305,509,208,6,2.88461538461538
"140","Eynhallow",12,"GBT-FC88748",26.0433,728,681,13,1.90895741556535
"141","Eynhallow",120,"GBT-FP96378",27.6897,646,308,8,2.5974025974026
"142","Eynhallow",121,"GBT-FP96381",26.9791,1458,696,6,0.862068965517241
"143","Eynhallow",122,"GBT-FP96399",26.295,2099,773,68,8.79689521345407
"144","Eynhallow",123,"GBT-FP96400",26.3722,2187,1250,14,1.12
"145","Eynhallow",124,"GBT-FP96491",26.2434,252,494,3,0.607287449392713
"146","Eynhallow",125,"GBT-FP96492",26.2072,1376,845,6,0.710059171597633
"147","Eynhallow",126,"GBT-FP96493",26.1426,729,391,8,2.0460358056266
"148","Eynhallow",127,"GBT-FP96494",26.8965,364,753,12,1.59362549800797
"149","Eynhallow",128,"GBT-FP96498",27.3736,363,265,6,2.26415094339623
"150","Eynhallow",129,"GBT-FP96500",26.9701,1011,416,15,3.60576923076923
"151","Eynhallow",13,"GBT-FH89003",27.1255,1091,278,10,3.59712230215827
"152","Eynhallow",130,"GBT-FR77703",26.2711,729,927,8,0.862998921251348
"153","Eynhallow",131,"GBT-FR77804",27.3915,1817,618,12,1.94174757281553
"154","Eynhallow",132,"GBT-FR77822",26.9091,730,397,5,1.25944584382872
"155","Eynhallow",133,"GBT-FR77890",28.0973,1454,219,9,4.10958904109589
"156","Eynhallow",134,"GBT-FR77984",26.714,364,770,9,1.16883116883117
"157","Eynhallow",135,"GBT-FR77985",25.5675,367,490,8,1.63265306122449
"158","Eynhallow",136,"GBT-FS68841",27.106,363,261,8,3.06513409961686
"159","Eynhallow",14,"GBT-FH89004",25.6656,1094,560,8,1.42857142857143
"160","Eynhallow",15,"GBT-FH89005",27.3651,639,196,7,3.57142857142857
"161","Eynhallow",16,"GBT-FH89008",26.272,363,467,11,2.35546038543897
"162","Eynhallow",17,"GBT-FH89013",27.1986,728,217,6,2.76497695852535
"163","Eynhallow",18,"GBT-FH89014",26.6773,364,755,18,2.3841059602649
"164","Eynhallow",19,"GBT-FH89016",26.763,1094,387,5,1.29198966408269
"165","Eynhallow",2,"GBT-FC14562",26.1906,1818,1094,186,17.0018281535649
"166","Eynhallow",20,"GBT-FH89017",27.3955,363,245,4,1.63265306122449
"167","Eynhallow",21,"GBT-FH89018",27.5845,363,203,11,5.41871921182266
"168","Eynhallow",22,"GBT-FH89020",25.7588,2551,710,5,0.704225352112676
"169","Eynhallow",23,"GBT-FH89021",24.5265,782,1274,296,23.2339089481947
"170","Eynhallow",24,"GBT-FH89023",28.1125,1820,622,29,4.66237942122186
"171","Eynhallow",25,"GBT-FH89025",26.907,1091,515,7,1.35922330097087
"172","Eynhallow",26,"GBT-FH89027",27.7008,366,276,9,3.26086956521739
"173","Eynhallow",27,"GBT-FH89031",26.8073,1011,349,9,2.57879656160458
"174","Eynhallow",28,"GBT-FH89034",26.825,1091,683,12,1.75695461200586
"175","Eynhallow",29,"GBT-FH89036",27.0815,727,259,5,1.93050193050193
"176","Eynhallow",3,"GBT-FC14766",27.1204,2912,324,9,2.77777777777778
"177","Eynhallow",30,"GBT-FH89043",27.1942,637,348,6,1.72413793103448
"178","Eynhallow",31,"GBT-FH89085",27.6984,363,290,9,3.10344827586207
"179","Eynhallow",32,"GBT-FH89086",26.9389,1281,623,10,1.60513643659711
"180","Eynhallow",33,"GBT-FH89088",26.886,364,589,9,1.52801358234295
"181","Eynhallow",34,"GBT-FH89089",27.0057,1092,407,8,1.96560196560197
"182","Eynhallow",35,"GBT-FH89090",27.4182,363,279,9,3.2258064516129
"183","Eynhallow",36,"GBT-FH89091",26.8587,364,365,9,2.46575342465753
"184","Eynhallow",37,"GBT-FH89093",27.4815,1534,252,10,3.96825396825397
"185","Eynhallow",38,"GBT-FH89095",27.0624,364,288,5,1.73611111111111
"186","Eynhallow",39,"GBT-FH89096",27.2213,363,418,2,0.478468899521531
"187","Eynhallow",4,"GBT-FC14836",27.0189,595,459,8,1.74291938997821
"188","Eynhallow",40,"GBT-FH89099",27.1745,731,207,6,2.89855072463768
"189","Eynhallow",41,"GBT-FH89102",27.6889,1093,199,9,4.52261306532663
"190","Eynhallow",42,"GBT-FH89108",25.6111,510,812,12,1.47783251231527
"191","Eynhallow",43,"GBT-FP05006",25.7875,730,778,18,2.31362467866324
"192","Eynhallow",44,"GBT-FP05013",26.0053,1460,1182,28,2.36886632825719
"193","Eynhallow",45,"GBT-FP05030",27.372,726,255,9,3.52941176470588
"194","Eynhallow",46,"GBT-FP05078",27.8919,726,311,10,3.21543408360129
"195","Eynhallow",47,"GBT-FP05082",23.4777,140,245,3,1.22448979591837
"196","Eynhallow",48,"GBT-FP05091",25.4668,1457,809,17,2.10135970333745
"197","Eynhallow",49,"GBT-FP05130",23.9783,125,485,3,0.618556701030928
"198","Eynhallow",5,"GBT-FC14839",27.2502,803,352,6,1.70454545454545
"199","Eynhallow",50,"GBT-FP05132",26.571,364,429,4,0.932400932400932
"200","Eynhallow",51,"GBT-FP05134",27.0662,1089,538,17,3.15985130111524
"201","Eynhallow",52,"GBT-FP05135",25.2574,728,689,10,1.45137880986938
"202","Eynhallow",53,"GBT-FP05150",26.9281,363,338,8,2.36686390532544
"203","Eynhallow",54,"GBT-FP05183",26.0233,1823,840,15,1.78571428571429
"204","Eynhallow",55,"GBT-FP05192",27.2043,726,720,65,9.02777777777778
"205","Eynhallow",56,"GBT-FP05203",25.8909,730,872,11,1.26146788990826
"206","Eynhallow",57,"GBT-FP05205",27.4746,364,246,9,3.65853658536585
"207","Eynhallow",58,"GBT-FP05208",27.1542,726,204,6,2.94117647058824
"208","Eynhallow",59,"GBT-FP05214",27.0893,1091,356,13,3.65168539325843
"209","Eynhallow",6,"GBT-FC28752",27.5532,1456,458,9,1.96506550218341
"210","Eynhallow",60,"GBT-FP05222",27.3298,364,583,6,1.02915951972556
"211","Eynhallow",61,"GBT-FP05224",27.7979,365,255,8,3.13725490196078
"212","Eynhallow",62,"GBT-FP05229",27.8929,363,217,9,4.14746543778802
"213","Eynhallow",63,"GBT-FP05231",27.3902,363,379,8,2.11081794195251
"214","Eynhallow",64,"GBT-FP05238",26.1603,2549,851,13,1.52761457109283
"215","Eynhallow",65,"GBT-FP05438",24.2381,881,801,12,1.49812734082397
"216","Eynhallow",66,"GBT-FP96010",27.4931,729,516,10,1.93798449612403
"217","Eynhallow",67,"GBT-FP96018",26.7408,728,588,7,1.19047619047619
"218","Eynhallow",68,"GBT-FP96027",25.2335,363,1056,60,5.68181818181818
"219","Eynhallow",69,"GBT-FP96037",25.6319,1457,982,12,1.22199592668024
"220","Eynhallow",7,"GBT-FC28841",27.196,1457,373,7,1.87667560321716
"221","Eynhallow",70,"GBT-FP96044",27.5657,581,351,11,3.13390313390313
"222","Eynhallow",71,"GBT-FP96045",26.3035,280,605,5,0.826446280991736
"223","Eynhallow",72,"GBT-FP96054",25.2113,2467,1017,57,5.6047197640118
"224","Eynhallow",73,"GBT-FP96057",27.6493,365,436,8,1.8348623853211
"225","Eynhallow",74,"GBT-FP96064",26.3639,364,275,3,1.09090909090909
"226","Eynhallow",75,"GBT-FP96075",25.9036,729,814,9,1.10565110565111
"227","Eynhallow",76,"GBT-FP96076",28.4354,729,641,22,3.43213728549142
"228","Eynhallow",77,"GBT-FP96077",27.3584,363,351,7,1.99430199430199
"229","Eynhallow",78,"GBT-FP96078",27.555,364,472,20,4.23728813559322
"230","Eynhallow",79,"GBT-FP96123",26.949,365,349,9,2.57879656160458
"231","Eynhallow",8,"GBT-FC28975",26.4428,726,623,4,0.642054574638844
"232","Eynhallow",80,"GBT-FP96129",27.3614,1184,443,10,2.25733634311512
"233","Eynhallow",81,"GBT-FP96139",27.354,1091,654,60,9.1743119266055
"234","Eynhallow",82,"GBT-FP96147",25.0035,726,990,282,28.4848484848485
"235","Eynhallow",83,"GBT-FP96151",27.2209,1737,713,84,11.781206171108
"236","Eynhallow",84,"GBT-FP96152",25.9432,730,717,14,1.95258019525802
"237","Eynhallow",85,"GBT-FP96155",26.4736,1095,780,13,1.66666666666667
"238","Eynhallow",86,"GBT-FP96156",28.0265,114,124,8,6.45161290322581
"239","Eynhallow",87,"GBT-FP96157",27.5002,420,219,1,0.45662100456621
"240","Eynhallow",88,"GBT-FP96158",27.2788,363,299,5,1.67224080267559
"241","Eynhallow",89,"GBT-FP96159",26.4747,1456,753,10,1.32802124833997
"242","Eynhallow",9,"GBT-FC28999",27.0093,1818,301,9,2.99003322259136
"243","Eynhallow",90,"GBT-FP96160",25.9211,284,709,9,1.26939351198872
"244","Eynhallow",91,"GBT-FP96161",26.8955,727,554,8,1.44404332129964
"245","Eynhallow",92,"GBT-FP96162",27.7262,1455,637,13,2.04081632653061
"246","Eynhallow",93,"GBT-FP96186",26.5852,364,403,2,0.496277915632754
"247","Eynhallow",94,"GBT-FP96193",27.7087,644,637,29,4.55259026687598
"248","Eynhallow",95,"GBT-FP96194",27.1596,1819,225,9,4
"249","Eynhallow",96,"GBT-FP96195",24.241,2182,1071,350,32.6797385620915
"250","Eynhallow",97,"GBT-FP96196",26.5843,2186,768,7,0.911458333333333
"251","Eynhallow",98,"GBT-FP96197",26.9409,2087,608,11,1.80921052631579
"252","Eynhallow",99,"GBT-FP96199",26.5773,3143,749,11,1.46862483311081
"253","Faroe.Islands",1,"DKC-4074923",26.5446,366,588,2,0.340136054421769
"254","Faroe.Islands",10,"DKC-4298255",24.3589,364,816,6,0.735294117647059
"255","Faroe.Islands",11,"DKC-4298258",25.3738,364,962,12,1.24740124740125
"256","Faroe.Islands",12,"DKC-4298263",22.6139,363,897,298,33.221850613155
"257","Faroe.Islands",13,"DKC-4F-3042",26.2179,364,328,2,0.609756097560976
"258","Faroe.Islands",14,"DKC-4F0156",26.9508,727,417,0,0
"259","Faroe.Islands",15,"DKC-4F0158",24.4089,728,814,10,1.22850122850123
"260","Faroe.Islands",16,"DKC-4F0160",25.1507,364,557,5,0.897666068222621
"261","Faroe.Islands",17,"DKC-4F0161",24.6246,727,640,28,4.375
"262","Faroe.Islands",18,"DKC-4F0164",26.1297,727,576,19,3.29861111111111
"263","Faroe.Islands",19,"DKC-4F0166",26.4895,726,751,15,1.99733688415446
"264","Faroe.Islands",2,"DKC-4294430",27.2109,365,345,7,2.02898550724638
"265","Faroe.Islands",20,"DKC-4F0167",24.5128,364,871,12,1.37772675086108
"266","Faroe.Islands",21,"DKC-4F0168",25.8865,364,761,2,0.26281208935611
"267","Faroe.Islands",22,"DKC-4F0169",25.0449,364,597,6,1.00502512562814
"268","Faroe.Islands",3,"DKC-4294439",24.8243,730,629,5,0.794912559618442
"269","Faroe.Islands",4,"DKC-4294440",26.3428,366,998,6,0.601202404809619
"270","Faroe.Islands",5,"DKC-4294442",29.4227,194,412,9,2.18446601941748
"271","Faroe.Islands",6,"DKC-4294448",25.585,728,936,9,0.961538461538462
"272","Faroe.Islands",7,"DKC-4294450",27.5869,366,704,3,0.426136363636364
"273","Faroe.Islands",8,"DKC-4298152",25.4512,363,742,25,3.36927223719677
"274","Faroe.Islands",9,"DKC-4298251",23.3746,978,596,13,2.18120805369128
"275","Inishkea",1,"GBT-FH15526",25.9525,730,644,6,0.93167701863354
"276","Inishkea",2,"GBT-FH15698",27.4713,730,257,4,1.55642023346304
"277","Inishkea",3,"GBT-FH78391",27.3025,730,389,5,1.2853470437018
"278","Inishkea",4,"GBT-FH78393",27.1135,730,423,5,1.18203309692671
"279","Isle.of.Canna",1,"GBT-FH49405",27.318,728,793,10,1.26103404791929
"280","Isle.of.Canna",2,"GBT-FH49407",26.7194,363,251,4,1.59362549800797
"281","Isle.of.Canna",3,"GBT-FH49494",26.3371,364,398,5,1.25628140703518
"282","Isle.of.Canna",4,"GBT-FP29405",26.6319,364,275,7,2.54545454545455
"283","Isle.of.Canna",5,"GBT-FP41256",24.8061,242,731,20,2.7359781121751
"284","Isle.of.Canna",6,"GBT-FP48025",25.4326,364,627,14,2.23285486443381
"285","Isle.of.Canna",7,"GBT-FP48027",25.522,364,568,5,0.880281690140845
"286","Isle.of.Canna",8,"GBT-FP84411",27.5719,730,383,10,2.61096605744125
"287","Jan.Mayen",1,"NOS-4181597",26.3254,369,953,51,5.35152151101784
"288","Jan.Mayen",10,"NOS-4181611",23.0043,363,710,200,28.169014084507
"289","Jan.Mayen",11,"NOS-4181612",26.6253,689,677,98,14.4756277695716
"290","Jan.Mayen",12,"NOS-4181614",25.1765,363,703,23,3.27169274537696
"291","Jan.Mayen",13,"NOS-4181615",25.4328,1094,1165,171,14.6781115879828
"292","Jan.Mayen",14,"NOS-4181617",25.4729,364,657,149,22.6788432267884
"293","Jan.Mayen",15,"NOS-4181620",24.7699,728,990,266,26.8686868686869
"294","Jan.Mayen",16,"NOS-4181621",25.0939,1092,926,106,11.4470842332613
"295","Jan.Mayen",17,"NOS-4181622",25.5201,1091,877,50,5.70125427594071
"296","Jan.Mayen",18,"NOS-4181623",24.295,2183,775,212,27.3548387096774
"297","Jan.Mayen",19,"NOS-4181624",25.2346,1458,726,25,3.4435261707989
"298","Jan.Mayen",2,"NOS-4181600",24.3505,363,418,62,14.8325358851675
"299","Jan.Mayen",20,"NOS-4181625",25.2523,1457,799,43,5.38172715894869
"300","Jan.Mayen",21,"NOS-4181626",25.2747,1414,1180,190,16.1016949152542
"301","Jan.Mayen",22,"NOS-4181627",22.8172,363,811,251,30.9494451294698
"302","Jan.Mayen",23,"NOS-4181628",25.3948,364,850,31,3.64705882352941
"303","Jan.Mayen",24,"NOS-4181629",26.1568,1823,1076,45,4.182156133829
"304","Jan.Mayen",25,"NOS-4181630",25.2699,1455,1237,294,23.7671786580437
"305","Jan.Mayen",26,"NOS-4181631",26.5273,1092,1033,44,4.2594385285576
"306","Jan.Mayen",27,"NOS-4181632",25.195,729,1111,132,11.8811881188119
"307","Jan.Mayen",28,"NOS-4181633",26.5003,1458,1095,69,6.3013698630137
"308","Jan.Mayen",29,"NOS-4181634",24.7372,728,658,150,22.7963525835866
"309","Jan.Mayen",3,"NOS-4181602",25.3534,2548,817,107,13.0966952264382
"310","Jan.Mayen",30,"NOS-4181636",25.5611,728,951,281,29.5478443743428
"311","Jan.Mayen",31,"NOS-4181637",25.3852,730,863,32,3.70799536500579
"312","Jan.Mayen",32,"NOS-4181638",24.3034,726,887,265,29.8759864712514
"313","Jan.Mayen",33,"NOS-4181639",24.944,1000,704,170,24.1477272727273
"314","Jan.Mayen",34,"NOS-4181640",26.0584,1092,1130,33,2.92035398230089
"315","Jan.Mayen",35,"NOS-4181641",24.0636,727,1056,243,23.0113636363636
"316","Jan.Mayen",36,"NOS-4181642",24.5525,1092,673,178,26.4487369985141
"317","Jan.Mayen",37,"NOS-4181644",26.6641,729,711,20,2.81293952180028
