"","Colony","Individual","Individ_id","pers","Number_of_tracks","vals","nas","percent_na"
"342","Jarsteinen",1,"NOS-4104835",28.2029,1094,413,5,1.21065375302663
"343","Jarsteinen",10,"NOS-4262804",26.8061,365,455,12,2.63736263736264
"344","Jarsteinen",11,"NOS-4262952",29.1346,364,545,15,2.75229357798165
"345","Jarsteinen",12,"NOS-4264093",25.2926,1459,1142,131,11.4711033274956
"346","Jarsteinen",13,"NOS-4264390",23.9713,727,812,259,31.8965517241379
"347","Jarsteinen",14,"NOS-4264403",28.0873,365,238,5,2.10084033613445
"348","Jarsteinen",15,"NOS-4264405",28.3447,728,189,7,3.7037037037037
"349","Jarsteinen",2,"NOS-4207468",26.0207,731,721,17,2.35783633841886
"350","Jarsteinen",3,"NOS-4221715",25.6143,1461,1276,20,1.56739811912226
"351","Jarsteinen",4,"NOS-4241937",27.5253,730,644,7,1.08695652173913
"352","Jarsteinen",5,"NOS-4262401",27.7345,730,636,10,1.57232704402516
"353","Jarsteinen",6,"NOS-4262415",27.8831,730,396,7,1.76767676767677
"354","Jarsteinen",7,"NOS-4262538",26.9936,732,519,7,1.34874759152216
"355","Jarsteinen",8,"NOS-4262541",24.786,729,1020,379,37.156862745098
"356","Jarsteinen",9,"NOS-4262801",29.7718,364,111,5,4.5045045045045
"357","Little.Saltee",1,"GBT-FA88604",29.1377,730,124,8,6.45161290322581
"358","Little.Saltee",10,"GBT-FH78367",26.481,730,731,20,2.7359781121751
"359","Little.Saltee",11,"GBT-FJ59505",29.5132,364,231,8,3.46320346320346
"360","Little.Saltee",12,"GBT-FJ59507",27.9055,364,386,8,2.07253886010363
"361","Little.Saltee",13,"GBT-FP14812",29.1875,730,251,9,3.58565737051793
"362","Little.Saltee",14,"GBT-FP14834",28.8048,364,175,8,4.57142857142857
"363","Little.Saltee",15,"GBT-FP14869",28.8248,364,451,8,1.77383592017738
"364","Little.Saltee",16,"GBT-FP14991",27.4462,730,468,8,1.70940170940171
"365","Little.Saltee",17,"GBT-FP14999",29.735,364,129,8,6.2015503875969
"366","Little.Saltee",18,"GBT-FP40312",29.5005,364,236,10,4.23728813559322
"367","Little.Saltee",19,"GBT-FP40344",29.5023,364,246,8,3.2520325203252
"368","Little.Saltee",2,"GBT-FB25124",29.1162,364,170,8,4.70588235294118
"369","Little.Saltee",20,"GBT-FP40362",27.1784,364,374,12,3.20855614973262
"370","Little.Saltee",21,"GBT-FP40378",28.7663,364,487,8,1.64271047227926
"371","Little.Saltee",22,"GBT-FP40433",29.4011,364,183,13,7.10382513661202
"372","Little.Saltee",23,"GBT-FP64331",28.6208,364,525,8,1.52380952380952
"373","Little.Saltee",24,"GBT-FP64357",29.1431,730,124,8,6.45161290322581
"374","Little.Saltee",25,"GBT-FP64364",29.0062,728,181,8,4.41988950276243
"375","Little.Saltee",26,"GBT-FP64367",28.7954,364,125,8,6.4
"376","Little.Saltee",27,"GBT-FR18053",28.3852,730,345,8,2.31884057971015
"377","Little.Saltee",28,"GBT-FR18074",29.831,364,118,8,6.77966101694915
"378","Little.Saltee",29,"GBT-FR18354",28.4653,364,132,8,6.06060606060606
"379","Little.Saltee",3,"GBT-FB25128",28.7193,364,146,8,5.47945205479452
"380","Little.Saltee",30,"GBT-FV46558",27.9839,364,388,8,2.06185567010309
"381","Little.Saltee",31,"GBT-FV46572",29.4082,364,236,8,3.38983050847458
"382","Little.Saltee",32,"GBT-FV46799",29.2731,364,114,8,7.01754385964912
"383","Little.Saltee",4,"GBT-FB25130",27.1578,364,360,8,2.22222222222222
"384","Little.Saltee",5,"GBT-FB25133",28.8184,364,168,8,4.76190476190476
"385","Little.Saltee",6,"GBT-FB25141",24.2122,364,917,23,2.50817884405671
"386","Little.Saltee",7,"GBT-FH15572",27.7765,366,139,8,5.75539568345324
"387","Little.Saltee",8,"GBT-FH78306",29.3557,366,130,8,6.15384615384615
"388","Little.Saltee",9,"GBT-FH78356",27.4201,364,435,8,1.83908045977011
