"name","vals","nas","percent_na"
"Jan.Mayen_39",849,231,27.208480565371
"Jan.Mayen_4",1103,70,6.34632819582956
"Jan.Mayen_40",778,143,18.3804627249357
"Jan.Mayen_41",776,168,21.6494845360825
"Jan.Mayen_42",948,212,22.3628691983122
"Jan.Mayen_43",624,98,15.7051282051282
"Jan.Mayen_44",1101,148,13.4423251589464
"Jan.Mayen_45",969,32,3.30237358101135
"Jan.Mayen_46",1017,164,16.125860373648
"Jan.Mayen_47",863,42,4.8667439165701
"Jan.Mayen_48",837,45,5.3763440860215
"Jan.Mayen_49",625,80,12.8
"Jan.Mayen_5",1155,362,31.3419913419913
"Jan.Mayen_50",982,12,1.22199592668024
"Jan.Mayen_51",825,23,2.78787878787879
"Jan.Mayen_52",670,3,0.447761194029851
"Jan.Mayen_53",701,25,3.56633380884451
"Jan.Mayen_54",652,147,22.5460122699387
"Jan.Mayen_55",504,12,2.38095238095238
"Jan.Mayen_6",567,62,10.9347442680776
"Jan.Mayen_7",1233,281,22.7899432278994
"Jan.Mayen_8",1032,50,4.84496124031008
"Jan.Mayen_9",893,17,1.9036954087346
"Jarsteinen_1",413,5,1.21065375302663
"Jarsteinen_10",455,12,2.63736263736264
"Jarsteinen_11",545,15,2.75229357798165
"Jarsteinen_12",1142,131,11.4711033274956
"Jarsteinen_13",812,259,31.8965517241379
"Jarsteinen_14",238,5,2.10084033613445
"Jarsteinen_15",189,7,3.7037037037037
"Jarsteinen_2",721,17,2.35783633841886
"Jarsteinen_3",1276,20,1.56739811912226
"Jarsteinen_4",644,7,1.08695652173913
"Jarsteinen_5",636,10,1.57232704402516
"Jarsteinen_6",396,7,1.76767676767677
"Jarsteinen_7",519,7,1.34874759152216
"Jarsteinen_8",1020,379,37.156862745098
"Jarsteinen_9",111,5,4.5045045045045
"Langanes_1",960,15,1.5625
"Langanes_2",658,79,12.0060790273556
"Langanes_3",1006,50,4.97017892644135
"Little.Saltee_1",124,8,6.45161290322581
"Little.Saltee_10",731,20,2.7359781121751
"Little.Saltee_11",231,8,3.46320346320346
"Little.Saltee_12",386,8,2.07253886010363
"Little.Saltee_13",251,9,3.58565737051793
"Little.Saltee_14",175,8,4.57142857142857
"Little.Saltee_15",451,8,1.77383592017738
"Little.Saltee_16",468,8,1.70940170940171
"Little.Saltee_17",129,8,6.2015503875969
"Little.Saltee_18",236,10,4.23728813559322
"Little.Saltee_19",246,8,3.2520325203252
"Little.Saltee_2",170,8,4.70588235294118
"Little.Saltee_20",374,12,3.20855614973262
"Little.Saltee_21",487,8,1.64271047227926
"Little.Saltee_22",183,13,7.10382513661202
"Little.Saltee_23",525,8,1.52380952380952
"Little.Saltee_24",124,8,6.45161290322581
"Little.Saltee_25",181,8,4.41988950276243
"Little.Saltee_26",125,8,6.4
"Little.Saltee_27",345,8,2.31884057971015
"Little.Saltee_28",118,8,6.77966101694915
"Little.Saltee_29",132,8,6.06060606060606
"Little.Saltee_3",146,8,5.47945205479452
"Little.Saltee_30",388,8,2.06185567010309
"Little.Saltee_31",236,8,3.38983050847458
"Little.Saltee_32",114,8,7.01754385964912
"Little.Saltee_4",360,8,2.22222222222222
"Little.Saltee_5",168,8,4.76190476190476
"Little.Saltee_6",917,23,2.50817884405671
"Little.Saltee_7",139,8,5.75539568345324
"Little.Saltee_8",130,8,6.15384615384615
"Little.Saltee_9",435,8,1.83908045977011
"Skjalfandi_1",576,17,2.95138888888889
"Skjalfandi_10",814,112,13.7592137592138
"Skjalfandi_11",811,78,9.61775585696671
"Skjalfandi_12",1021,147,14.3976493633692
"Skjalfandi_13",537,11,2.04841713221601
"Skjalfandi_14",839,172,20.5005959475566
"Skjalfandi_15",994,18,1.81086519114688
"Skjalfandi_16",877,14,1.5963511972634
"Skjalfandi_17",780,16,2.05128205128205
"Skjalfandi_18",816,18,2.20588235294118
"Skjalfandi_19",1079,21,1.94624652455978
"Skjalfandi_2",717,20,2.78940027894003
"Skjalfandi_20",588,25,4.25170068027211
"Skjalfandi_21",1241,16,1.28928283642224
"Skjalfandi_22",694,21,3.02593659942363
"Skjalfandi_23",920,52,5.65217391304348
"Skjalfandi_24",652,90,13.8036809815951
"Skjalfandi_25",731,20,2.7359781121751
"Skjalfandi_26",804,17,2.11442786069652
"Skjalfandi_27",1304,281,21.5490797546012
"Skjalfandi_28",1233,128,10.3811841038118
"Skjalfandi_29",694,18,2.59365994236311
"Skjalfandi_3",686,17,2.47813411078717
"Skjalfandi_30",931,18,1.93340494092374
"Skjalfandi_31",621,16,2.57648953301127
"Skjalfandi_32",707,17,2.4045261669024
"Skjalfandi_33",524,15,2.86259541984733
"Skjalfandi_34",619,19,3.06946688206785
"Skjalfandi_35",524,18,3.43511450381679
"Skjalfandi_36",714,17,2.38095238095238
"Skjalfandi_37",1239,108,8.71670702179177
"Skjalfandi_38",1199,403,33.6113427856547
"Skjalfandi_39",727,25,3.43878954607978
"Skjalfandi_4",783,188,24.0102171136654
"Skjalfandi_40",606,7,1.15511551155116
"Skjalfandi_41",1115,228,20.4484304932735
"Skjalfandi_42",1678,365,21.7520858164482
"Skjalfandi_43",555,17,3.06306306306306
"Skjalfandi_44",656,20,3.04878048780488
"Skjalfandi_45",736,49,6.65760869565217
"Skjalfandi_46",771,15,1.94552529182879
"Skjalfandi_47",492,16,3.2520325203252
"Skjalfandi_48",557,17,3.05206463195691
"Skjalfandi_49",1058,204,19.2816635160681
"Skjalfandi_5",703,13,1.84921763869132
"Skjalfandi_50",583,16,2.74442538593482
"Skjalfandi_51",900,58,6.44444444444444
"Skjalfandi_52",553,15,2.7124773960217
"Skjalfandi_53",582,16,2.74914089347079
"Skjalfandi_54",595,45,7.56302521008403
"Skjalfandi_6",481,14,2.91060291060291
"Skjalfandi_7",857,55,6.41773628938156
"Skjalfandi_8",540,16,2.96296296296296
"Skjalfandi_9",1034,18,1.74081237911025
