"","Colony","Individ_id","pers","Number_of_tracks"
"131","Eynhallow","GBT-FH89018",27.5845,363
"132","Eynhallow","GBT-FH89020",25.7588,2551
"133","Eynhallow","GBT-FH89021",24.5265,782
"134","Eynhallow","GBT-FH89023",28.1125,1820
"135","Eynhallow","GBT-FH89025",26.907,1091
"136","Eynhallow","GBT-FH89027",27.7008,366
"137","Eynhallow","GBT-FH89031",26.8073,1011
"138","Eynhallow","GBT-FH89034",26.825,1091
"139","Eynhallow","GBT-FH89036",27.0815,727
"140","Eynhallow","GBT-FH89043",27.1942,637
"141","Eynhallow","GBT-FH89085",27.6984,363
"142","Eynhallow","GBT-FH89086",26.9389,1281
"143","Eynhallow","GBT-FH89088",26.886,364
"144","Eynhallow","GBT-FH89089",27.0057,1092
"145","Eynhallow","GBT-FH89090",27.4182,363
"146","Eynhallow","GBT-FH89091",26.8587,364
"147","Eynhallow","GBT-FH89093",27.4815,1534
"148","Eynhallow","GBT-FH89095",27.0624,364
"149","Eynhallow","GBT-FH89096",27.2213,363
"150","Eynhallow","GBT-FH89099",27.1745,731
"151","Eynhallow","GBT-FH89102",27.6889,1093
"152","Eynhallow","GBT-FH89108",25.6111,510
"153","Eynhallow","GBT-FP05006",25.7875,730
"154","Eynhallow","GBT-FP05013",26.0053,1460
"155","Eynhallow","GBT-FP05030",27.372,726
"156","Eynhallow","GBT-FP05078",27.8919,726
"157","Eynhallow","GBT-FP05082",23.4777,140
"158","Eynhallow","GBT-FP05091",25.4668,1457
"159","Eynhallow","GBT-FP05130",23.9783,125
"160","Eynhallow","GBT-FP05132",26.571,364
"161","Eynhallow","GBT-FP05134",27.0662,1089
"162","Eynhallow","GBT-FP05135",25.2574,728
"163","Eynhallow","GBT-FP05150",26.9281,363
"164","Eynhallow","GBT-FP05183",26.0233,1823
"165","Eynhallow","GBT-FP05192",27.2043,726
"166","Eynhallow","GBT-FP05203",25.8909,730
"167","Eynhallow","GBT-FP05205",27.4746,364
"168","Eynhallow","GBT-FP05208",27.1542,726
"169","Eynhallow","GBT-FP05214",27.0893,1091
"170","Eynhallow","GBT-FP05222",27.3298,364
"171","Eynhallow","GBT-FP05224",27.7979,365
"172","Eynhallow","GBT-FP05229",27.8929,363
"173","Eynhallow","GBT-FP05231",27.3902,363
"174","Eynhallow","GBT-FP05238",26.1603,2549
"175","Eynhallow","GBT-FP05438",24.2381,881
"176","Eynhallow","GBT-FP96010",27.4931,729
"177","Eynhallow","GBT-FP96018",26.7408,728
"178","Eynhallow","GBT-FP96027",25.2335,363
"179","Eynhallow","GBT-FP96037",25.6319,1457
"180","Eynhallow","GBT-FP96044",27.5657,581
"181","Eynhallow","GBT-FP96045",26.3035,280
"182","Eynhallow","GBT-FP96054",25.2113,2467
"183","Eynhallow","GBT-FP96057",27.6493,365
"184","Eynhallow","GBT-FP96064",26.3639,364
"185","Eynhallow","GBT-FP96075",25.9036,729
"186","Eynhallow","GBT-FP96076",28.4354,729
"187","Eynhallow","GBT-FP96077",27.3584,363
"188","Eynhallow","GBT-FP96078",27.555,364
"189","Eynhallow","GBT-FP96123",26.949,365
"190","Eynhallow","GBT-FP96129",27.3614,1184
"191","Eynhallow","GBT-FP96139",27.354,1091
"192","Eynhallow","GBT-FP96147",25.0035,726
"193","Eynhallow","GBT-FP96151",27.2209,1737
"194","Eynhallow","GBT-FP96152",25.9432,730
"195","Eynhallow","GBT-FP96155",26.4736,1095
"196","Eynhallow","GBT-FP96156",28.0265,114
"197","Eynhallow","GBT-FP96157",27.5002,420
"198","Eynhallow","GBT-FP96158",27.2788,363
"199","Eynhallow","GBT-FP96159",26.4747,1456
"200","Eynhallow","GBT-FP96160",25.9211,284
"201","Eynhallow","GBT-FP96161",26.8955,727
"202","Eynhallow","GBT-FP96162",27.7262,1455
"203","Eynhallow","GBT-FP96186",26.5852,364
"204","Eynhallow","GBT-FP96193",27.7087,644
"205","Eynhallow","GBT-FP96194",27.1596,1819
"206","Eynhallow","GBT-FP96195",24.241,2182
"207","Eynhallow","GBT-FP96196",26.5843,2186
"208","Eynhallow","GBT-FP96197",26.9409,2087
"209","Eynhallow","GBT-FP96199",26.5773,3143
"210","Eynhallow","GBT-FP96200",25.8688,363
"211","Eynhallow","GBT-FP96218",25.1435,1093
"212","Eynhallow","GBT-FP96219",27.5454,1455
"213","Eynhallow","GBT-FP96220",25.2651,729
"214","Eynhallow","GBT-FP96224",26.5855,2044
"215","Eynhallow","GBT-FP96225",27.3602,1090
"216","Eynhallow","GBT-FP96226",27.5668,729
"217","Eynhallow","GBT-FP96227",26.9465,363
"218","Eynhallow","GBT-FP96228",26.6551,730
"219","Eynhallow","GBT-FP96234",26.612,1094
"220","Eynhallow","GBT-FP96235",27.0513,363
"221","Eynhallow","GBT-FP96288",24.963,365
"222","Eynhallow","GBT-FP96304",27.4665,365
"223","Eynhallow","GBT-FP96325",26.8466,363
"224","Eynhallow","GBT-FP96328",27.3394,1376
"225","Eynhallow","GBT-FP96329",27.2207,2912
"226","Eynhallow","GBT-FP96332",25.5314,366
"227","Eynhallow","GBT-FP96344",26.4813,1456
"228","Eynhallow","GBT-FP96361",25.3452,729
"229","Eynhallow","GBT-FP96377",27.0305,509
"230","Eynhallow","GBT-FP96378",27.6897,646
"231","Eynhallow","GBT-FP96381",26.9791,1458
"232","Eynhallow","GBT-FP96399",26.295,2099
"233","Eynhallow","GBT-FP96400",26.3722,2187
"234","Eynhallow","GBT-FP96491",26.2434,252
"235","Eynhallow","GBT-FP96492",26.2072,1376
