"","population","individual","b","c","exposure_score","Individ_id"
"75","Combined",27,0.999999999826287,0.997776357574645,22.1064,"ISR-339246"
"76","Combined",28,1.00000000008095,0.99760624908076,24.3163,"ISR-339248"
"77","Combined",29,0.9999999997749,0.998151253172018,23.1896,"ISR-340703"
"78","Combined",3,1.00000000009686,0.996265991314718,23.2912,"ISR-336166"
"79","Combined",3,0.999999999979764,0.998169378391786,24.5277,"ISR-336166"
"80","Combined",30,1.00000000002251,1.00111193641231,23.8131,"ISR-340709"
"81","Combined",31,1.00000000002956,0.99836809878551,23.6036,"ISR-340719"
"82","Combined",32,0.99999999996453,0.998366304006328,23.1833,"ISR-340721"
"83","Combined",33,1.0000000001105,0.979775576505686,19.1949,"ISR-340732"
"84","Combined",34,1.00000000061709,1.00329593634314,23.6492,"ISR-340758"
"85","Combined",35,1.00000000021191,0.999532427304377,22.8991,"ISR-340760"
"86","Combined",36,1.00000000005502,0.998532742489519,23.3717,"ISR-340761"
"87","Combined",37,0.999999999768079,0.995804230472183,24.1198,"ISR-340770"
"88","Combined",38,1.00000000004502,0.993764630741486,23.9052,"ISR-340772"
"89","Combined",39,1.0000000000482,0.996243635830146,22.9946,"ISR-340790"
"90","Combined",4,0.999999999854026,0.994059376710697,23.3168,"ISR-336167"
"91","Combined",40,1.0000000001528,0.997350455976776,24.3947,"ISR-340800"
"92","Combined",41,0.999999999951342,0.994763455735224,22.3766,"ISR-341696"
"93","Combined",42,0.999999999701231,0.996058115115986,23.7454,"ISR-341697"
"94","Combined",43,0.999999999913598,0.998141692092499,23.8744,"ISR-341698"
"95","Combined",44,0.999999999766715,0.99850094000086,24.4384,"ISR-341701"
"96","Combined",45,1.00000000013461,0.996143353777854,23.496,"ISR-341703"
"97","Combined",46,0.999999999862666,0.998295287617954,24.4166,"ISR-341704"
"98","Combined",47,0.999999999764896,0.998043926219434,22.791,"ISR-341712"
"99","Combined",48,0.999999999823103,0.997109806486372,22.4301,"ISR-350701"
"100","Combined",49,0.999999999957708,0.996533459701465,22.8051,"ISR-350703"
"101","Combined",5,1.00000000005275,1.00053375545867,23.9578,"ISR-336176"
"102","Combined",50,0.999999999892225,0.99539333921634,22.4213,"ISR-350704"
"103","Combined",51,1.00000000010823,0.999196319420136,24.3641,"ISR-350706"
"104","Combined",52,1.0000000000523,0.999187806439611,23.3373,"ISR-350708"
"105","Combined",53,0.999999999853571,1.00020015363635,23.5769,"ISR-350710"
"106","Combined",54,0.999999999628471,0.995357377067807,24.6397,"ISR-350711"
"107","Combined",6,0.999999999642569,1.00469315956345,23.1538,"ISR-336179"
"108","Combined",7,1.00000000017053,1.00114537065694,23.7398,"ISR-339217"
"109","Combined",8,1.00000000000728,1.00163497289063,23.9229,"ISR-339220"
"110","Combined",9,0.999999999746478,0.99941674390432,25.1848,"ISR-339222"
"111","Eynhallow",1,0.999999999760803,1.00454795474375,27.3542,"GBT-FA82356"
"112","Eynhallow",10,1.00000000021805,1.00035885376999,26.5961,"GBT-FC71061"
"113","Eynhallow",100,0.999999999443844,0.996578187005164,25.8688,"GBT-FP96200"
"114","Eynhallow",101,0.999999999997499,1.00114183396949,25.1435,"GBT-FP96218"
"115","Eynhallow",102,0.999999999466581,0.99990034739918,27.5454,"GBT-FP96219"
"116","Eynhallow",103,0.999999999829015,0.997088768529448,25.2651,"GBT-FP96220"
"117","Eynhallow",104,1.00000000018554,1.00599208465913,26.5855,"GBT-FP96224"
"118","Eynhallow",105,0.99999999981128,0.999977813776965,27.3602,"GBT-FP96225"
"119","Eynhallow",106,0.999999999958618,0.999409076132343,27.5668,"GBT-FP96226"
"120","Eynhallow",107,0.999999999988177,1.00267656068694,26.9465,"GBT-FP96227"
