"","population","individual","tracking_year","b","c","exposure_score","CI_lower","CI_upper"
"60","Bjørnøya","NOS.4182528",2014,1.00000000016189,0.992253864378419,26.5283,21.27035,27.93585
"61","Bjørnøya","NOS.4182528",2015,0.999999999877218,0.992089452081676,25.7611,21.27035,27.93585
"62","Bjørnøya","NOS.4182528",2016,0.999999999950887,0.994646311987577,25.5804,21.27035,27.93585
"63","Bjørnøya","NOS.4182531",2014,1.00000000022737,0.988968677033352,25.7916,21.27035,27.93585
"64","Bjørnøya","NOS.4182531",2015,1.00000000022919,0.989436429502514,23.8095,21.27035,27.93585
"65","Bjørnøya","NOS.4182531",2016,0.999999999814463,0.988103161811475,24.7327,21.27035,27.93585
"66","Bjørnøya","NOS.4182533",2014,1.00000000020918,0.991693070737562,26.4008,21.27035,27.93585
"67","Bjørnøya","NOS.4182533",2015,1.00000000032014,0.988869836709126,25.4472,21.27035,27.93585
"68","Bjørnøya","NOS.4182533",2016,0.999999999948159,0.991740601878782,23.9904,21.27035,27.93585
"69","Bjørnøya","NOS.4182533",2017,0.999999999967258,0.988947054948788,28.0536,21.27035,27.93585
"70","Bjørnøya","NOS.4182533",2018,1.00000000001091,0.98905013609723,28.804,21.27035,27.93585
"71","Bjørnøya","NOS.4182534",2014,0.999999999863576,0.991892373209371,24.3354,21.27035,27.93585
"72","Bjørnøya","NOS.4182534",2015,0.999999999948159,0.992520872709219,24.1508,21.27035,27.93585
"73","Bjørnøya","NOS.4182534",2016,1.00000000029195,0.99515537222965,22.5315,21.27035,27.93585
"74","Bjørnøya","NOS.4182534",2018,1.00000000020464,0.993181525264695,23.1596,21.27035,27.93585
"75","Bjørnøya","NOS.4182535",2014,1.00000000011732,0.990144009125258,27.7044,21.27035,27.93585
"76","Bjørnøya","NOS.4182535",2015,0.999999999537067,0.991307708478119,26.6196,21.27035,27.93585
"77","Bjørnøya","NOS.4182537",2014,0.999999999904503,0.990161968424934,27.9875,21.27035,27.93585
"78","Bjørnøya","NOS.4182537",2015,0.999999999979082,0.992012404306471,25.9514,21.27035,27.93585
"79","Bjørnøya","NOS.4182537",2016,0.999999999943611,0.990230317125837,24.7559,21.27035,27.93585
