"Colony","Estimate","Std.Error","z_value","p_value"
"(Intercept)",25.3279947827198,0.247764080271502,102.22625795864,0
"ColonyEynhallow",1.43305347767515,0.280098592393183,5.11624662384427,3.11675483866125e-07
"ColonyFaroe Islands",0.302076953564532,0.395635750254504,0.763522895416333,0.445151613276162
"ColonyIceland",-1.52798128168543,0.328208497376524,-4.65552017665318,3.2316375568886e-06
"ColonyInishkea",1.62585422824087,0.76813524796305,2.11662494665142,0.0342916911705551
"ColonyIsle of Canna",0.947646597855683,0.56547646121529,1.67583739174404,0.0937700478188968
"ColonyJan Mayen",0.00572198588144823,0.323351083171983,0.0176958921099542,0.985881457757218
"ColonyJarsteinen",1.77160279144385,0.455089950278406,3.8928629172322,9.90681377588398e-05
"ColonyLittle Saltee",3.25448923040367,0.356033145890833,9.1409725975389,0
