"name","vals","nas","percent_na"
"Eynhallow_GBT.FH89086_2017",400,7,1.75
"Eynhallow_GBT.FH89086_2018",532,6,1.12781954887218
"Eynhallow_GBT.FH89086_2019",485,10,2.06185567010309
"Eynhallow_GBT.FH89086_2020",272,0,0
"Eynhallow_GBT.FH89088_2018",586,9,1.5358361774744
"Eynhallow_GBT.FH89089_2018",318,7,2.20125786163522
"Eynhallow_GBT.FH89089_2019",449,6,1.33630289532294
"Eynhallow_GBT.FH89089_2020",318,8,2.51572327044025
"Eynhallow_GBT.FH89090_2017",279,10,3.584229390681
"Eynhallow_GBT.FH89091_2018",365,9,2.46575342465753
"Eynhallow_GBT.FH89093_2007",234,5,2.13675213675214
"Eynhallow_GBT.FH89093_2017",185,9,4.86486486486486
"Eynhallow_GBT.FH89093_2018",161,9,5.59006211180124
"Eynhallow_GBT.FH89093_2019",160,8,5
"Eynhallow_GBT.FH89093_2020",123,6,4.8780487804878
"Eynhallow_GBT.FH89095_2017",289,6,2.07612456747405
"Eynhallow_GBT.FH89096_2017",420,2,0.476190476190476
"Eynhallow_GBT.FH89099_2018",189,6,3.17460317460317
"Eynhallow_GBT.FH89099_2019",208,5,2.40384615384615
"Eynhallow_GBT.FH89102_2018",188,7,3.72340425531915
"Eynhallow_GBT.FH89102_2019",215,9,4.18604651162791
"Eynhallow_GBT.FH89102_2020",165,9,5.45454545454545
"Eynhallow_GBT.FH89108_2018",675,12,1.77777777777778
"Eynhallow_GBT.FH89108_2019",464,0,0
"Eynhallow_GBT.FP05006_2014",773,22,2.84605433376455
"Eynhallow_GBT.FP05006_2015",510,6,1.17647058823529
"Eynhallow_GBT.FP05013_2007",968,16,1.65289256198347
"Eynhallow_GBT.FP05013_2015",1125,59,5.24444444444444
"Eynhallow_GBT.FP05013_2016",846,10,1.18203309692671
"Eynhallow_GBT.FP05013_2017",831,7,0.842358604091456
"Eynhallow_GBT.FP05030_2009",224,7,3.125
"Eynhallow_GBT.FP05030_2010",271,9,3.3210332103321
"Eynhallow_GBT.FP05078_2010",199,7,3.51758793969849
"Eynhallow_GBT.FP05078_2017",354,10,2.82485875706215
"Eynhallow_GBT.FP05082_2008",243,4,1.64609053497942
"Eynhallow_GBT.FP05091_2017",581,10,1.72117039586919
"Eynhallow_GBT.FP05091_2018",500,4,0.8
"Eynhallow_GBT.FP05091_2019",780,17,2.17948717948718
"Eynhallow_GBT.FP05091_2020",580,15,2.58620689655172
"Eynhallow_GBT.FP05130_2019",486,3,0.617283950617284
"Eynhallow_GBT.FP05132_2014",426,4,0.938967136150235
"Eynhallow_GBT.FP05134_2016",402,6,1.49253731343284
"Eynhallow_GBT.FP05134_2017",401,5,1.24688279301746
"Eynhallow_GBT.FP05134_2018",541,74,13.6783733826248
"Eynhallow_GBT.FP05135_2016",701,10,1.4265335235378
"Eynhallow_GBT.FP05135_2017",619,10,1.61550888529887
