"","median","lower.2.5%","upper.97.5%"
"Alkefjellet",22.7556,13.15127,28.30151
"Bjørnøya",25.5804,21.27035,27.93585
"Combined",23.7701,20.6424575,25.4516225
"Eynhallow",26.8907,23.854,28.1849
"Faroe.Islands",25.3839,22.8063,28.0317
"Inishkea",27.04765,25.7286075,27.6952075
"Isle.of.Canna",26.61045,24.90148,27.62991
"Jan.Mayen",25.43615,23.0172125,27.1907475
"Jarsteinen",26.8975,23.71015,29.2254
"Little.Saltee",28.8313,25.719005,29.9224
