"","Colony","Overlap_score","variance_pers","median_percent_na"
"1","Alkefjellet",0.578260214432532,12.8649166040952,37.0280146163216
"2","Bjørnøya",0.703489603707902,2.31749616958748,22.6042774429871
"3","Combined",0.403037159421785,1.01465398129032,2.96296296296296
"4","Eynhallow",0.446569657836336,0.80443171723257,1.94716388403678
"5","Faroe.Islands",0.428179420262115,2.1937983580303,1.11676317706468
"6","Inishkea",0.640776342518511,0.472450809999999,1.23369007031426
"7","Isle.of.Canna",0.590457883405017,0.932917547857143,1.91324018122089
"8","Jan.Mayen",0.415440007046776,0.878912610255892,13.0966952264382
"9","Jarsteinen",0.527125654012768,2.72056348885714,2.35783633841886
"10","Little.Saltee",0.661320119190669,1.3279153336996,3.91147275305558
