"","Colony","Total number of unique individuals","Total number of relocations"
"1","Alkefjellet",15,30049
"2","Bjørnøya",38,55429
"3","Eynhallow",138,241773
"4","Faroe Islands",22,20113
"5","Inishkea",4,5790
"6","Isle of Canna",8,6269
"7","Jan Mayen",55,90842
"8","Jarsteinen",15,21816
"9","Langanes",3,5305
"10","Little Saltee",32,27193
"11","Skjalfandi",54,117721
