"population","population_exposure"
"Barents.Sea",21.5877
"Canadian.Eastern.Arctic...West.Greenland",22.1103
"Faroe.Plateau",25.5533
"Iceland.Shelf.and.Sea",24.0787
"North.Sea",27.5188
