"","Region","Month","pers","Sample_size_for_kde","vals","nas","percent_na"
"89","Northeast.U.S..Continental.Shelf",1,24.0158,61,70,3,4.28571428571429
"90","Northeast.U.S..Continental.Shelf",11,24.528,70,74,3,4.05405405405405
"91","Northeast.U.S..Continental.Shelf",12,17.5871,197,846,436,51.5366430260047
"92","Norwegian.Sea",1,27.6388,11766,460,5,1.08695652173913
"93","Norwegian.Sea",10,27.8334,4243,498,18,3.6144578313253
"94","Norwegian.Sea",11,27.9848,5376,434,1,0.230414746543779
"95","Norwegian.Sea",12,24.8309,10696,261,8,3.06513409961686
"96","Norwegian.Sea",2,27.5788,12280,444,2,0.45045045045045
"97","Norwegian.Sea",3,27.9179,17648,452,6,1.32743362831858
"98","Norwegian.Sea",4,27.6732,13018,466,9,1.931330472103
"99","Norwegian.Sea",5,26.9515,6175,542,33,6.08856088560886
"100","Norwegian.Sea",6,27.3955,1473,521,19,3.6468330134357
"101","Norwegian.Sea",7,27.6857,3346,506,25,4.94071146245059
"102","Norwegian.Sea",8,27.996,6135,467,11,2.35546038543897
"103","Norwegian.Sea",9,27.9009,3359,482,16,3.3195020746888
"104","Scotian.Shelf",10,13.7,163,73,2,2.73972602739726
"105","Scotian.Shelf",11,13.6,162,75,2,2.66666666666667
"106","Scotian.Shelf",12,24.5198,137,76,3,3.94736842105263
"107","Scotian.Shelf",9,15.816,113,88,2,2.27272727272727
