"population","population_exposure"
"Barents.Sea",23.4471
"Canadian.Eastern.Arctic...West.Greenland",20.8195
"Celtic.Biscay.Shelf",27.9528
"Faroe.Plateau",25.4433
"Greenland.Sea",23.9997
"Hudson.Bay.Complex",14.8419
"Iceland.Shelf.and.Sea",24.3717
"Kara.Sea",21.292
"Labrador...Newfoundland",21.2211
"North.Sea",27.3495
"Northeast.U.S..Continental.Shelf",24.0158
"Norwegian.Sea",27.6795
"Scotian.Shelf",14.758
